date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:42	110/110	---M-Z	200	added ('OK')	text/plain	etag:%226fa3ad664ed0b31265ce71a063baa9bd%22	https://smooth-members-796353.framer.app/robots.txt		(from )
13:13:42	447592/447592	---M-Z	200	added ('OK')	text/html	etag:%22e9334ba362d9d97a27d5e3ecaa8a56a6%22	https://smooth-members-796353.framer.app/	C:/Users/user/Downloads/blueshine/smooth-members-796353.framer.app/index.html	(from )
13:13:43	488/488	---MC-	200	added ('OK')	image/png	etag:%22bfb2b7b54d5cfc1ed227f5b685c81109%22	https://framerusercontent.com/images/EBv6ZdB1KX6CFfSHjanmaqnfPwY.png	C:/Users/user/Downloads/blueshine/framerusercontent.com/images/EBv6ZdB1KX6CFfSHjanmaqnfPwY.png	(from https://smooth-members-796353.framer.app/)
13:13:43	385/385	---MC-	200	added ('OK')	image/png	etag:%22e0559861252a4816bd73b0776ce6881a%22	https://framerusercontent.com/images/wOYRUJ33Rs814I6AWi89q7b8w.png	C:/Users/user/Downloads/blueshine/framerusercontent.com/images/wOYRUJ33Rs814I6AWi89q7b8w.png	(from https://smooth-members-796353.framer.app/)
13:13:43	2647/2647	---MC-	200	added ('OK')	image/png	etag:%2234e367d7781d2222da3f0c6165a539c5%22	https://framerusercontent.com/images/bgHZZMvuxcNSNO0KPNthTqbFE3U.png	C:/Users/user/Downloads/blueshine/framerusercontent.com/images/bgHZZMvuxcNSNO0KPNthTqbFE3U.png	(from https://smooth-members-796353.framer.app/)
13:13:44	579617/579617	---M-Z	200	added ('OK')	text/html	etag:%220f690547dc391c5c6232e4e79c95611c%22	https://smooth-members-796353.framer.app/blueai	C:/Users/user/Downloads/blueshine/smooth-members-796353.framer.app/blueai.html	(from https://smooth-members-796353.framer.app/)
13:13:45	779211/779211	---M-Z	200	added ('OK')	text/html	etag:%22311ffe9772ee027b2f8dbffb9edaa65f%22	https://smooth-members-796353.framer.app/pricing	C:/Users/user/Downloads/blueshine/smooth-members-796353.framer.app/pricing.html	(from https://smooth-members-796353.framer.app/)
13:13:46	579617/579617	---M-Z	200	added ('OK')	text/html	etag:%220f690547dc391c5c6232e4e79c95611c%22	https://smooth-members-796353.framer.app/download	C:/Users/user/Downloads/blueshine/smooth-members-796353.framer.app/download.html	(from https://smooth-members-796353.framer.app/)
13:13:46	579617/579617	---M-Z	200	added ('OK')	text/html	etag:%220f690547dc391c5c6232e4e79c95611c%22	https://smooth-members-796353.framer.app/faq	C:/Users/user/Downloads/blueshine/smooth-members-796353.framer.app/faq.html	(from https://smooth-members-796353.framer.app/)
13:13:46	579617/579617	---M-Z	200	added ('OK')	text/html	etag:%220f690547dc391c5c6232e4e79c95611c%22	https://smooth-members-796353.framer.app/contact	C:/Users/user/Downloads/blueshine/smooth-members-796353.framer.app/contact.html	(from https://smooth-members-796353.framer.app/)
13:13:47	579617/579617	---M-Z	200	added ('OK')	text/html	etag:%220f690547dc391c5c6232e4e79c95611c%22	https://smooth-members-796353.framer.app/sign-in	C:/Users/user/Downloads/blueshine/smooth-members-796353.framer.app/sign-in.html	(from https://smooth-members-796353.framer.app/)
